#{"t_start": 1748728577.7614372, "env_id": "my_robotenv-v1"}
r,l,t
-880.7,1437,7.264045
-170.4,304,7.940643
-10.1,1,7.940643
-138.7,217,8.429993
-24.2,12,8.455679
-46.4,54,8.572037
-140.4,204,9.013159
-141.1,221,9.501325
-11.4,4,9.501325
-142.3,203,9.967395
-66.5,65,10.108881
-93.6,146,10.444333
-334.5,525,11.610305
-38.0,40,11.704811
-1589.2,3222,36.903661
-29.0,40,36.998363
-145.5,245,37.534315
-10.2,2,37.549943
-139.6,366,38.368624
-530.2,1002,58.665369
-106.7,287,59.327789
-67.9,159,59.715636
-17.4,14,59.752905
-21.2,32,59.827865
-11.8,8,59.847504
-271.4,844,61.920984
-22.4,54,62.037361
-414.6,1086,64.477675
-95.5,275,65.108072
-74.3,133,65.40783
-134.2,332,66.149559
-334.3,993,86.089477
-10.9,9,86.10511
-663.5,2645,92.010229
-96.9,429,92.971447
-154.0,550,94.199666
-52.1,251,112.331245
-9.6,6,112.346879
-155.6,816,114.234702
-45.9,99,114.455379
-20.1,101,114.691306
-300.7,1727,118.59811
-14.8,8,118.629504
-91.4,764,120.392503
-63.4,1494,141.419904
-36.8,228,141.938393
46.6,3454,167.869616
30.0,490,168.971838
-16.4,284,169.602859
7.8,172,169.997093
-4.3,33,170.060287
36.7,643,171.633949
-14.0,10,171.649958
-3.7,47,171.760323
18.4,336,172.500253
8.0,340,173.256224
136.8,822,175.097293
443.6,2954,199.647487
64.8,512,200.776169
1.1,129,201.05797
93.3,717,202.616997
13.3,177,220.669866
53.7,353,221.462384
47.0,240,222.007124
2.5,65,222.153316
14.5,125,222.419382
206.0,1020,224.685481
-8.3,113,224.924988
-5.9,29,224.987969
-14.0,10,225.013639
-12.5,25,225.066963
15.3,157,225.419308
192.8,992,227.633504
122.3,827,229.530932
21.6,184,248.745244
133.7,613,250.116485
71.2,338,250.887709
61.1,259,251.478055
44.3,207,251.941409
60.0,440,252.932437
24.3,177,253.343583
75.4,406,254.255291
22.5,195,254.701122
800.8,3112,280.698147
137.7,583,282.023878
-10.3,3,282.039565
203.2,838,284.270873
-5.9,9,284.318229
83.0,310,285.411023
12.6,124,285.715064
-1.1,51,285.826305
966.6,3414,313.02631
279.9,731,314.712765
64.1,29,314.775928
1213.0,3520,342.682132
298.3,917,344.854208
106.1,369,364.835276
247.4,826,366.79406
1104.3,3137,393.166602
-15.8,8,393.19887
7081.1,19619,524.107683
427.1,939,546.610237
636.3,1477,550.020792
308.3,927,552.926585
912.2,2608,580.683456
464.9,1391,584.837208
890.1,2059,611.131691
-12.6,6,611.155049
7114.4,18546,740.11949
871.4,2126,767.198587
440.3,987,769.47913
2031.6,5084,803.030651
